#model_version:v2026.06.15,score_date:2026-08-25T12:03:58Z
cve,epss,percentile,change_type
CVE-1999-0630,0.01855,0.77551,updated
CVE-1999-0632,0.0098,0.59562,updated
CVE-1999-0635,0.01301,0.68294,updated
CVE-1999-0638,0.01282,0.67862,updated
CVE-1999-0640,0.01871,0.77753,updated
CVE-1999-0641,0.01293,0.68115,updated
CVE-1999-0650,0.01897,0.78054,updated
CVE-1999-0663,0.01904,0.7814,updated
CVE-1999-0664,0.01957,0.7876,updated
CVE-1999-0665,0.01904,0.7814,updated
CVE-1999-0667,0.14703,0.96401,updated
CVE-1999-0675,0.01363,0.69679,updated
CVE-1999-0676,0.00309,0.23031,updated
CVE-1999-0680,0.05729,0.92467,updated
CVE-1999-0684,0.02533,0.83716,updated
CVE-1999-0692,0.02397,0.8274,updated
CVE-1999-0694,0.00294,0.21343,updated
CVE-1999-0697,0.00348,0.27381,updated
CVE-1999-0698,0.01871,0.77753,updated
CVE-1999-0713,0.00348,0.27381,updated
CVE-1999-0721,0.08526,0.94625,updated
CVE-1999-0722,0.02253,0.8159,updated
CVE-1999-0723,0.07357,0.93925,updated
CVE-1999-0724,0.00303,0.2233,updated
CVE-1999-0731,0.00317,0.2394,updated
CVE-1999-0732,0.00349,0.2755,updated
CVE-1999-0734,0.01418,0.7077,updated
CVE-1999-0740,0.02067,0.7995,updated
CVE-1999-0742,0.01172,0.65082,updated
CVE-1999-0743,0.00303,0.22314,updated
CVE-1999-0747,0.00307,0.22832,updated
CVE-1999-0748,0.01482,0.71969,updated
CVE-1999-0763,0.01387,0.70168,updated
CVE-1999-0764,0.01349,0.69356,updated
CVE-1999-0766,0.07204,0.93825,updated
CVE-1999-0772,0.01501,0.72318,updated
CVE-1999-0775,0.03129,0.86869,updated
CVE-1999-0779,0.01826,0.77175,updated
CVE-1999-0780,0.00323,0.24627,updated
CVE-1999-0781,0.0042,0.34731,updated
CVE-1999-0782,0.00311,0.23216,updated
CVE-1999-0799,0.01845,0.7741,updated
CVE-1999-0801,0.02178,0.80973,updated
CVE-1999-0807,0.00402,0.33052,updated
CVE-1999-0808,0.03241,0.8734,updated
CVE-1999-0810,0.0213,0.8055,updated
CVE-1999-0812,0.01353,0.69458,updated
CVE-1999-0813,0.00471,0.38661,updated
CVE-1999-0814,0.02253,0.81591,updated
CVE-1999-0815,0.17913,0.96945,updated
CVE-1999-0825,0.00582,0.45212,updated
CVE-1999-0827,0.04685,0.91088,updated
CVE-1999-0829,0.01522,0.72685,updated
CVE-1999-0831,0.01416,0.70729,updated
CVE-1999-0850,0.00327,0.2503,updated
CVE-1999-0852,0.00348,0.27381,updated
CVE-1999-0854,0.0132,0.68684,updated
CVE-1999-0858,0.13375,0.96115,updated
CVE-1999-0861,0.03237,0.87326,updated
CVE-1999-0865,0.01531,0.72826,updated
CVE-1999-0870,0.12536,0.95916,updated
CVE-1999-0871,0.12164,0.95836,updated
CVE-1999-0872,0.00361,0.28782,updated
CVE-1999-0881,0.0132,0.68683,updated
CVE-1999-0882,0.0195,0.78679,updated
CVE-1999-0883,0.02608,0.84216,updated
CVE-1999-0884,0.0079,0.53521,updated
CVE-1999-0895,0.01327,0.68825,updated
CVE-1999-0897,0.01309,0.6846,updated
CVE-1999-0901,0.00412,0.34064,updated
CVE-1999-0902,0.00429,0.35509,updated
CVE-1999-0903,0.01489,0.72113,updated
CVE-1999-0929,0.01872,0.77756,updated
CVE-1999-0938,0.02695,0.84763,updated
CVE-1999-0939,0.01074,0.62407,updated
CVE-1999-0941,0.01861,0.77626,updated
CVE-1999-0952,0.00346,0.27173,updated
CVE-1999-0955,0.02521,0.83633,updated
CVE-1999-0956,0.00402,0.33051,updated
CVE-1999-0957,0.00359,0.28549,updated
CVE-1999-0958,0.00436,0.36125,updated
CVE-1999-0963,0.00348,0.27381,updated
CVE-1999-0967,0.06959,0.93619,updated
CVE-1999-0969,0.13451,0.96131,updated
CVE-1999-0976,0.00294,0.21343,updated
CVE-1999-0982,0.0044,0.36469,updated
CVE-1999-0987,0.04946,0.915,updated
CVE-1999-0990,0.00417,0.34445,updated
CVE-1999-0992,0.03331,0.87691,updated
CVE-1999-0993,0.06938,0.93604,updated
CVE-1999-0994,0.07194,0.9382,updated
CVE-1999-0998,0.01306,0.68392,updated
