#model_version:v2026.06.15,score_date:2026-09-24T12:00:20Z
cve,epss,percentile
CVE-1999-0217,0.01348,0.70245
CVE-1999-0218,0.01386,0.71026
CVE-1999-0219,0.09083,0.95115
CVE-1999-0220,0.01603,0.7477
CVE-1999-0221,0.01423,0.7172
CVE-1999-0222,0.01386,0.71026
CVE-1999-0223,0.00313,0.21523
CVE-1999-0224,0.16792,0.96932
CVE-1999-0225,0.1847,0.97144
CVE-1999-0226,0.05926,0.92976
CVE-1999-0227,0.04972,0.91872
CVE-1999-0228,0.04972,0.91872
CVE-1999-0229,0.05873,0.92934
CVE-1999-0230,0.0106,0.6303
CVE-1999-0231,0.01379,0.7089
CVE-1999-0232,0.01895,0.78717
CVE-1999-0233,0.16272,0.96836
CVE-1999-0234,0.004,0.31392
CVE-1999-0235,0.06564,0.93567
CVE-1999-0236,0.25788,0.97899
CVE-1999-0237,0.03318,0.88099
CVE-1999-0238,0.06117,0.93169
CVE-1999-0239,0.07591,0.94318
CVE-1999-0240,0.01297,0.69109
CVE-1999-0241,0.04304,0.9077
CVE-1999-0242,0.02299,0.82555
CVE-1999-0243,0.01603,0.74769
CVE-1999-0244,0.03025,0.86915
CVE-1999-0245,0.00398,0.31229
CVE-1999-0246,0.06076,0.9313
CVE-1999-0247,0.04011,0.90169
CVE-1999-0248,0.01603,0.74759
CVE-1999-0249,0.07196,0.94078
CVE-1999-0250,0.02269,0.82301
CVE-1999-0251,0.01907,0.78861
CVE-1999-0252,0.02857,0.86158
CVE-1999-0253,0.07952,0.94531
CVE-1999-0254,0.03924,0.89948
CVE-1999-0255,0.03,0.86807
CVE-1999-0256,0.72857,0.99434
CVE-1999-0257,0.01423,0.7172
CVE-1999-0258,0.06035,0.93088
CVE-1999-0259,0.01403,0.7137
CVE-1999-0260,0.0312,0.8729
CVE-1999-0261,0.01379,0.70889
CVE-1999-0262,0.0907,0.9511
CVE-1999-0263,0.00333,0.23903
CVE-1999-0264,0.05965,0.93018
CVE-1999-0265,0.01094,0.64038
CVE-1999-0266,0.09446,0.95244
CVE-1999-0267,0.10236,0.95515
CVE-1999-0268,0.06034,0.93087
CVE-1999-0269,0.05064,0.91995
CVE-1999-0270,0.32125,0.98259
CVE-1999-0271,0.01207,0.6703
CVE-1999-0272,0.01386,0.71026
CVE-1999-0273,0.01386,0.71025
CVE-1999-0274,0.05873,0.92934
CVE-1999-0275,0.06035,0.93089
CVE-1999-0276,0.02999,0.86805
CVE-1999-0277,0.00425,0.34048
CVE-1999-0278,0.64814,0.9922
CVE-1999-0279,0.03919,0.89934
CVE-1999-0280,0.1555,0.96709
CVE-1999-0281,0.12827,0.96151
